InvoiceDate,Revenue,Orders,Customers,AOV
2009-12,683504.01,1512,955,452.05291666666665
2010-01,555802.672,1011,720,549.7553630069239
2010-02,504558.956,1104,772,457.02803985507245
2010-03,696978.471,1524,1057,457.33495472440944
2010-04,591982.002,1329,942,445.4341625282167
2010-05,597833.38,1377,966,434.1564124909223
2010-06,636371.13,1497,1041,425.0976152304609
2010-07,589736.17,1381,928,427.03560463432297
2010-08,602224.6,1293,911,465.7576179427687
2010-09,829013.951,1689,1145,490.8312320899941
2010-10,1033112.01,2133,1497,484.34693389592127
2010-11,1166460.022,2587,1607,450.8929346733669
2010-12,570422.73,1400,885,407.44480714285714
2011-01,568101.31,987,741,575.58390070922
2011-02,446084.92,997,758,447.4272016048144
2011-03,594081.76,1321,974,449.72124148372444
2011-04,468374.331,1149,856,407.63649347258485
2011-05,677355.15,1555,1056,435.59816720257237
2011-06,660046.05,1393,991,473.8306173725772
2011-07,598962.901,1331,949,450.0096927122464
2011-08,644051.04,1280,935,503.16487500000005
2011-09,950690.202,1755,1266,541.7038188034188
2011-10,1035642.45,1929,1364,536.8804821150856
2011-11,1156205.61,2657,1664,435.15453895370723
2011-12,517208.44,778,615,664.7923393316196
